tipo;id;nombre;icono_addon;icono_web;resultado;estado
rasgo;bg_bot_competencias;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_bot_equipo;Equipo;inv_misc_bag_20;inv_misc_bag_20;inv_misc_bag_20;del addon
rasgo;bg_bot_herramientas;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_buc_canalla;Canalla veterano;ability_rogue_blackjack;ability_rogue_blackjack;ability_rogue_blackjack;del addon
rasgo;bg_buc_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_buc_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_busc_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_capharf_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_cat_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_cat_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_cat_marcado;Marcado pero en pie;achievement_zone_cataclysmgreen;achievement_zone_cataclysmgreen;achievement_zone_cataclysmgreen;del addon
rasgo;bg_caz_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_caz_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_cen_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_cen_guardian;Guardian de la naturaleza;spell_nature_natureguardian;spell_nature_natureguardian;spell_nature_natureguardian;del addon
rasgo;bg_cen_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_cha_caract;Caracteristica: Identidad falsa;inv_misc_notepicture2c;inv_misc_notepicture2c;inv_misc_notepicture2c;del addon
rasgo;bg_cha_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_cha_equipo;Equipo;inv_misc_bag_20;inv_misc_bag_20;inv_misc_bag_20;del addon
rasgo;bg_cha_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_cosecha_codigo;Codigo del buscador de Demonios;inv_misc_codexofxerrath_chains;inv_misc_codexofxerrath_chains;inv_misc_codexofxerrath_chains;del addon
rasgo;bg_cosecha_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_cosecha_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_cri_caract;Caracteristica: Lealtad falsa;hots_falseheart;hots_falseheart;hots_falseheart;del addon
rasgo;bg_cri_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_cri_competencias;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_cri_equipo;Equipo;inv_misc_bag_20;inv_misc_bag_20;inv_misc_bag_20;del addon
rasgo;bg_cri_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_crim_caract;Caracteristica: Contacto criminal;ability_rogue_deadliness;ability_rogue_deadliness;ability_rogue_deadliness;del addon
rasgo;bg_crim_equipo;Equipo;inv_misc_bag_20;inv_misc_bag_20;inv_misc_bag_20;del addon
rasgo;bg_des_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_des_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_dob_caract;Caracteristica: Dos caras de una moneda;inv_misc_coin_19;inv_misc_coin_19;inv_misc_coin_19;del addon
rasgo;bg_dob_competencias;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_dob_equipo;Equipo;inv_misc_bag_20;inv_misc_bag_20;inv_misc_bag_20;del addon
rasgo;bg_dob_herramientas;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_eco_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_elu_competencias;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_elu_equipo;Equipo;inv_misc_bag_20;inv_misc_bag_20;inv_misc_bag_20;del addon
rasgo;bg_elu_herborista;Kit de herborista;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_ere_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_ere_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_ere_perspicacia;Perspicacia erudita;achievement_faction_lorewalkers;achievement_faction_lorewalkers;achievement_faction_lorewalkers;del addon
rasgo;bg_erm_caract;Caracteristica: Descubrimiento;achievement_bg_winsoa;achievement_bg_winsoa;achievement_bg_winsoa;del addon
rasgo;bg_erm_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_erm_equipo;Equipo;inv_misc_bag_20;inv_misc_bag_20;inv_misc_bag_20;del addon
rasgo;bg_erm_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_eru_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_eru_equipo;Equipo;inv_misc_bag_20;inv_misc_bag_20;inv_misc_bag_20;del addon
rasgo;bg_for_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_for_herr;Juego o instrumento;inv_misc_dice_01;inv_misc_dice_01;inv_misc_dice_01;del addon
rasgo;bg_for_mirada;Todos se fijan en ti;achievement_bg_most_damage_killingblow_dieleast;achievement_bg_most_damage_killingblow_dieleast;achievement_bg_most_damage_killingblow_dieleast;del addon
rasgo;bg_glad_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_gsal_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_gsal_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_guardia_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_her_caract;Caracteristica: Hospitalidad rural;w3reforgedfarm;w3reforgedfarm;w3reforgedfarm;del addon
rasgo;bg_her_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_her_equipo;Equipo;inv_misc_bag_20;inv_misc_bag_20;inv_misc_bag_20;del addon
rasgo;bg_her_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_hered_hab;Habilidad adicional;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_hered_herr;Juego o instrumento;inv_misc_dice_01;inv_misc_dice_01;inv_misc_dice_01;del addon
rasgo;bg_hered_rasgo;Herencia;inv_icon_heirloomtoken_armor01;inv_icon_heirloomtoken_armor01;inv_icon_heirloomtoken_armor01;del addon
rasgo;bg_hered_superv;Supervivencia;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_hue_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_hue_equipo;Equipo;inv_misc_bag_20;inv_misc_bag_20;inv_misc_bag_20;del addon
rasgo;bg_hue_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_kir_caract;Caracteristica: Mentor prominente;eps_wc3h_apprenticewizard;eps_wc3h_apprenticewizard;eps_wc3h_apprenticewizard;del addon
rasgo;bg_kir_competencias;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_kir_equipo;Equipo;inv_misc_bag_20;inv_misc_bag_20;inv_misc_bag_20;del addon
rasgo;bg_kir_herramientas;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_liga_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_liga_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_liga_pionero;Pionero audaz;INV_Helm_Armor_Explorer_D_01;inv_misc_map02;inv_misc_map02;sustituido por la web
rasgo;bg_loco_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_luna_actuacion;Actuacion hipnotica;inv_darkmoon_vengeance;inv_darkmoon_vengeance;inv_darkmoon_vengeance;del addon
rasgo;bg_luna_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_luna_herr1;Kit de disfraces;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_luna_herr2;Juego o instrumento;inv_misc_dice_01;inv_misc_dice_01;inv_misc_dice_01;del addon
rasgo;bg_luz_abisal_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_luz_abisal_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_luz_abisal_rasgo;Equilibrio de fuerzas;WH_BalanceEssence;WH_BalanceEssence;WH_BalanceEssence;del addon
rasgo;bg_mar_caract;Caracteristica: Pasaje en un barco;w3reforgedship;w3reforgedship;w3reforgedship;del addon
rasgo;bg_mar_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_mar_equipo;Equipo;inv_misc_bag_20;inv_misc_bag_20;inv_misc_bag_20;del addon
rasgo;bg_mar_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_merc_armas;Competencia con armas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_merc_equipo;Equipo;inv_misc_bag_20;inv_misc_bag_20;inv_misc_bag_20;del addon
rasgo;bg_merc_hab;Competencia en habilidad;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_merc_herr;Herramienta adicional;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_merc_herr_juego;Juego;inv_misc_dice_02;inv_misc_dice_02;inv_misc_dice_02;del addon
rasgo;bg_nob_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_nob_equipo;Equipo;inv_misc_bag_20;inv_misc_bag_20;inv_misc_bag_20;del addon
rasgo;bg_nob_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_ord_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_ord_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_org_hab;Habilidad de faccion;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_org_perspicacia;Perspicacia;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_org_refugio;Refugio;w3reforgedtownhall;w3reforgedtownhall;w3reforgedtownhall;del addon
rasgo;bg_principe_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_principe_conexiones;Conexiones del cartel;ability_racial_timeismoney;ability_racial_timeismoney;ability_racial_timeismoney;del addon
rasgo;bg_principe_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_raven_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_raven_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_raven_red;Red de sombras;ability_rogue_honoramongstthieves;ability_rogue_honoramongstthieves;ability_rogue_honoramongstthieves;del addon
rasgo;bg_rostro_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_sal_caract;Caracteristica: Vagabundo;inv_misc_pelt_bear_ruin_05;inv_misc_pelt_bear_ruin_05;inv_misc_pelt_bear_ruin_05;del addon
rasgo;bg_sal_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_sal_equipo;Equipo;inv_misc_bag_20;inv_misc_bag_20;inv_misc_bag_20;del addon
rasgo;bg_sal_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_senda_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_sol_caract;Caracteristica: Rango militar;ability_wintergrasp_rank1;ability_wintergrasp_rank1;ability_wintergrasp_rank1;del addon
rasgo;bg_sol_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_sol_equipo;Equipo;inv_misc_bag_20;inv_misc_bag_20;inv_misc_bag_20;del addon
rasgo;bg_sol_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_torio_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_torio_herr;Herramientas de forja;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_torio_prestigio;Prestigio de la Hermandad del Torio;inv_ingot_07;inv_ingot_07;inv_ingot_07;del addon
rasgo;bg_tribal_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_tribal_herr;Competencia con herramientas;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bg_tribal_naturaleza;Uno con la naturaleza;spell_nature_abolishmagic;spell_nature_abolishmagic;spell_nature_abolishmagic;del addon
rasgo;bg_vet_comp;Competencias;inv_scroll_11;inv_scroll_11;inv_scroll_11;del addon
rasgo;bosque;Troll de Bosque;eps_wc3_foresttrollpriest;eps_wc3_foresttrollpriest;eps_wc3_foresttrollpriest;del addon
rasgo;boticario_oscuro;Boticario Oscuro;ui_darkshore_warfront_horde_alchemist;ui_darkshore_warfront_horde_alchemist;ui_darkshore_warfront_horde_alchemist;del addon
rasgo;bru_afl_acechar;Acechar;spell_shadow_twilight;spell_shadow_twilight;spell_shadow_twilight;del addon
rasgo;bru_afl_corrupcion;Corrupcion;spell_shadow_abominationexplosion;spell_shadow_abominationexplosion;spell_shadow_abominationexplosion;del addon
rasgo;bru_afl_lista;Lista ampliada de conjuros (afliccion);spell_shadow_curse;spell_shadow_curse;spell_shadow_curse;del addon
rasgo;bru_afl_maestro_maldiciones;Maestro de maldiciones;spell_shadow_curseofmannoroth;spell_shadow_curseofmannoroth;spell_shadow_curseofmannoroth;del addon
rasgo;bru_afl_maldiciones;Maldiciones conocidas;;;;sin icono
rasgo;bru_afl_maldiciones_6;Maldicion adicional;;;;sin icono
rasgo;bru_capturar_fragmento;Capturar fragmento de alma;inv_misc_gem_amethyst_02;inv_misc_gem_amethyst_02;inv_misc_gem_amethyst_02;del addon
rasgo;bru_circulo_demoniaco;Circulo demoniaco;spell_shadow_demoniccircleteleport;spell_shadow_demoniccircleteleport;spell_shadow_demoniccircleteleport;del addon
rasgo;bru_conocimiento_demoniaco;Conocimiento demoniaco;warlock_sacrificial_pact;warlock_sacrificial_pact;warlock_sacrificial_pact;del addon
rasgo;bru_dem_conducto;Conducto de almas;spell_shadow_soulleech;spell_shadow_soulleech;spell_shadow_soulleech;del addon
rasgo;bru_dem_lista;Lista ampliada de conjuros (demonologia);spell_shadow_summonfelhunter;spell_shadow_summonfelhunter;spell_shadow_summonfelhunter;del addon
rasgo;bru_dem_sentir;Sentir Demonios;spell_shadow_mindrot;spell_shadow_mindrot;spell_shadow_mindrot;del addon
rasgo;bru_dem_vinculo_almas;Vinculo de almas;spell_shadow_soulleech;spell_shadow_soulleech;spell_shadow_soulleech;del addon
rasgo;bru_des_canalizar;Canalizar fuego demoniaco;spell_fire_felflamebreath;spell_fire_felflamebreath;spell_fire_felflamebreath;del addon
rasgo;bru_des_caos;Caos;spell_fire_fireball;spell_fire_fireball;spell_fire_fireball;del addon
rasgo;bru_des_lista;Lista ampliada de conjuros (destruccion);spell_shadow_rainoffire;spell_shadow_rainoffire;spell_shadow_rainoffire;del addon
rasgo;bru_des_piromaniaco;Piromaniaco;spell_fire_incinerate;spell_fire_incinerate;spell_fire_incinerate;del addon
rasgo;bru_estudio_vil;Estudio vil;spell_warlock_demonbolt;spell_warlock_demonbolt;spell_warlock_demonbolt;del addon
rasgo;bru_forja_alma;Piedra de Alma;inv_misc_orb_04;inv_misc_orb_04;inv_misc_orb_04;del addon
rasgo;bru_forja_conjuro;Piedra de Conjuro;inv_misc_gem_sapphire_01;inv_misc_gem_sapphire_01;inv_misc_gem_sapphire_01;del addon
rasgo;bru_forja_fuego;Piedra de Fuego;inv_ammo_firetar;inv_ammo_firetar;inv_ammo_firetar;del addon
rasgo;bru_forja_salud;Piedra de Salud;inv_stone_04;inv_stone_04;inv_stone_04;del addon
rasgo;bru_forjado_almas;Forja de almas;inv_misc_gem_amethyst_02;inv_misc_gem_amethyst_02;inv_misc_gem_amethyst_02;del addon
rasgo;bru_fragmentos_alma;Fragmentos de alma;inv_misc_gem_amethyst_02;inv_misc_gem_amethyst_02;inv_misc_gem_amethyst_02;del addon
rasgo;bru_grimorio_sacrificio;Grimorio de sacrificio;warlock_grimoireofsacrifice;warlock_grimoireofsacrifice;warlock_grimoireofsacrifice;del addon
rasgo;bru_hechiceria_vil;Hechiceria vil;ability_warlock_everlastingaffliction;ability_warlock_everlastingaffliction;ability_warlock_everlastingaffliction;del addon
rasgo;bru_nucleo_abisario;Nucleo demoniaco: Abisario;spell_shadow_summonvoidwalker;spell_shadow_summonvoidwalker;spell_shadow_summonvoidwalker;del addon
rasgo;bru_nucleo_diablillo;Nucleo demoniaco: Diablillo;spell_shadow_summonimp;spell_shadow_summonimp;spell_shadow_summonimp;del addon
rasgo;bru_nucleo_guardia_vil;Nucleo demoniaco: Guardia Vil;spell_shadow_summonfelguard;spell_shadow_summonfelguard;spell_shadow_summonfelguard;del addon
rasgo;bru_nucleo_manafago;Nucleo demoniaco: Manafago;spell_shadow_summonfelhunter;spell_shadow_summonfelhunter;spell_shadow_summonfelhunter;del addon
rasgo;bru_nucleo_sucubo;Nucleo demoniaco: Sucubo;spell_shadow_summonsuccubus;spell_shadow_summonsuccubus;spell_shadow_summonsuccubus;del addon
rasgo;bru_quemar_alma_acelerar;Quemar alma: Acelerar;warlock_spelldrain;warlock_spelldrain;warlock_spelldrain;del addon
rasgo;bru_quemar_alma_extender;Quemar alma: Extender;ability_warlock_coil2;ability_warlock_coil2;ability_warlock_coil2;del addon
rasgo;bru_quemar_alma_rebotar;Quemar alma: Rebotar;spell_priest_shadoworbs;spell_priest_shadoworbs;spell_priest_shadoworbs;del addon
rasgo;bru_ritos_alma;Ritos de alma;spell_warlock_soulburn;spell_warlock_soulburn;spell_warlock_soulburn;del addon
rasgo;bru_secretos_profanos;Secretos profanos;spell_warlock_demonbolt;spell_warlock_demonbolt;spell_warlock_demonbolt;del addon
rasgo;bru_toque_vida;Toque de vida;ability_warlock_mortalcoil;ability_warlock_mortalcoil;ability_warlock_mortalcoil;del addon
rasgo;brujo;Brujo;classicon_warlock;classicon_warlock;classicon_warlock;del addon
rasgo;brujo_nigromancia_del_vacio_nivel_6;Nigromancia del Vacío (Nivel 6);;;;sin icono
rasgo;brujo_nigromancia_del_vacio_nivel_7;Nigromancia del Vacío (Nivel 7);;;;sin icono
rasgo;bucanero_retirado;Bucanero retirado;eps_plunder_armor_bloodsailbuccaneer_01_helm;eps_plunder_armor_bloodsailbuccaneer_01_helm;eps_plunder_armor_bloodsailbuccaneer_01_helm;del addon
rasgo;buscador_sombrio;Buscador sombrio;dos2_shadow12;dos2_shadow12;dos2_shadow12;del addon
rasgo;caballero_mu_forja_de_runas_superior;Forja de Runas Superior;;;;sin icono
rasgo;caballero_mu_sin_muerte;Sin Muerte;;;;sin icono
rasgo;caballero_mu_voluntad_de_la_tumba;Voluntad de la Tumba;;;;sin icono
rasgo;caballero_muerte;Caballero de la Muerte;classicon_deathknight;classicon_deathknight;classicon_deathknight;del addon
rasgo;caballero_orden;Caballero de la orden;eps_lol_tft_knightemblem;eps_lol_tft_knightemblem;eps_lol_tft_knightemblem;del addon
rasgo;caminavientos;Viajero del viento;spell_monk_windwalker_spec;spell_monk_windwalker_spec;spell_monk_windwalker_spec;del addon
rasgo;capitan_veterano_harford;Capitan veterano harford;inv_tabard_duelersguild;inv_tabard_duelersguild;inv_tabard_duelersguild;del addon
rasgo;caz_arquetipo;Arquetipo de Cazador;ability_hunter_snipertraining;ability_hunter_snipertraining;ability_hunter_snipertraining;del addon
